Name	Ensembl_ID
﻿Ahr	ENSMUSG00000019256
Fasl	ENSMUSG00000000817
Cd244	ENSMUSG00000004709
Kit	ENSMUSG00000005672
Xcl1	ENSMUSG00000026573
Lyz1	ENSMUSG00000069515
Tcrg-V7	ENSMUSG00000076744
Ahrr	ENSMUSG00000021575
Vdr	ENSMUSG00000022479
Gzma	ENSMUSG00000023132
Gzmb	ENSMUSG00000015437
Ccl5	ENSMUSG00000035042
Ctsc	ENSMUSG00000030560
Cd69	ENSMUSG00000030156
Itgae	ENSMUSG00000005947
Reg1	ENSMUSG00000059654
Reg4	ENSMUSG00000027876
Gzmc	ENSMUSG00000079186
Reg3g	ENSMUSG00000030017
Reg3a	ENSMUSG00000079516
Gzmf	ENSMUSG00000015441

